task_id,task_name,assignee,status,priority,project,actual_duration,is_delayed,bottleneck_type,reassignment_count,comments,start_date,end_date
19,Scale front-end e-commerce,user4,Completed,Low,Project_I,5.27,0,Dependency,1,Take or always social road crime lead throughout.,2026-01-20,2026-01-25
20,Deploy customized metrics,user5,Blocked,High,Project_A,8.613518892115048,1,Resource Shortage,1,,2025-10-10,2025-10-19
21,Facilitate seamless e-business,user9,In Progress,Medium,Project_B,16.02833803110309,1,Technical Issue,0,Director time direction.,2026-01-02,2026-01-15
22,Drive global users,user2,In Progress,High,Project_E,12.13,0,Technical Issue,0,Question power whole rest enough blood site.,2025-10-27,2025-11-10
23,Facilitate strategic users,user3,Blocked,Low,Project_I,3.7,0,Dependency,1,,2025-11-08,2025-11-12
24,Maximize plug-and-play convergence,user10,Assigned,Medium,Project_H,4.59,0,Approval,1,Red employee indeed research report most either.,2025-07-24,2025-07-29
25,Leverage compelling systems,user2,Assigned,Medium,Project_A,8.01,0,Resource Shortage,0,Myself military community.,2025-09-18,2025-09-27
26,Empower transparent e-business,user6,Assigned,High,Project_F,13.66,0,Technical Issue,2,,2025-07-24,2025-08-08
27,Syndicate back-end applications,user10,Blocked,Medium,Project_B,13.012194479152614,1,,3,Probably investment gas industry next commercial.,2025-11-10,2025-11-23
28,Aggregate sticky solutions,user9,In Progress,High,Project_I,15.168344904680858,1,Approval,0,,2025-12-26,2026-01-08
29,Envisioneer rich solutions,user10,Assigned,High,Project_I,14.56,0,Resource Shortage,1,,2025-08-11,2025-08-26
30,Deploy b2b vortals,user8,In Progress,Medium,Project_B,6.38,0,,1,Change recognize might want thought.,2025-10-17,2025-10-25
31,Incubate viral synergies,user8,Completed,Medium,Project_J,3.447960660095531,1,Technical Issue,0,Be range city professional bill minute.,2025-11-07,2025-11-10
32,Integrate best-of-breed communities,user5,Completed,High,Project_C,14.668578191954907,1,Resource Shortage,1,Heavy member character out sit hear strong until.,2025-08-03,2025-08-17
33,Integrate world-class deliverables,user6,Completed,High,Project_C,5.838834051100873,1,Resource Shortage,3,Phone program billion people rather thousand.,2025-09-04,2025-09-08
34,E-enable distributed content,user9,Blocked,High,Project_H,11.001319557494382,1,Resource Shortage,0,Political thing stand he.,2025-10-29,2025-11-08
35,Benchmark clicks-and-mortar convergence,user2,Assigned,High,Project_H,6.17,0,Dependency,0,Rule live audience worry couple again then show.,2025-11-29,2025-12-07
36,Engineer back-end channels,user9,In Progress,Medium,Project_H,12.47,0,Resource Shortage,1,Front eye task make third.,2025-12-31,2026-01-13
37,Monetize innovative partnerships,user3,Blocked,Medium,Project_J,13.764432647161254,1,Resource Shortage,1,Recently important the you.,2026-01-02,2026-01-17
38,Incubate viral portals,user10,Completed,High,Project_F,1.94,0,Technical Issue,0,Population boy billion lay role.,2025-07-30,2025-07-31
39,Redefine rich functionalities,user1,In Progress,High,Project_A,1.25,0,,0,,2025-12-19,2025-12-20
40,Extend cutting-edge schemas,user2,Completed,Low,Project_G,6.16,0,Technical Issue,3,Knowledge shoulder impact think.,2025-08-26,2025-09-02
41,Aggregate interactive roi,user5,Completed,High,Project_G,8.09,0,Technical Issue,0,,2025-11-21,2025-12-01
42,Engage 24/7 mindshare,user3,In Progress,Medium,Project_I,8.56,0,Dependency,1,Network adult give carry win good section.,2025-09-13,2025-09-21
43,Innovate out-of-the-box action-items,user10,Assigned,Medium,Project_B,4.97,0,Resource Shortage,1,Head avoid thought good political here.,2025-10-07,2025-10-12
44,Morph user-centric applications,user8,Blocked,Medium,Project_I,2.79,0,Approval,0,Wait shoulder story experience us bank yeah.,2025-09-05,2025-09-09
45,Visualize one-to-one synergies,user2,Completed,Medium,Project_B,4.531798598483706,1,Dependency,0,Whole design sure recent stage reflect parent.,2025-09-23,2025-09-26
46,Empower interactive communities,user6,Assigned,Medium,Project_G,2.51,0,Dependency,0,Quality sport hard many speech help event.,2025-12-22,2025-12-24
47,Deliver sticky partnerships,user3,Assigned,High,Project_F,12.535232556761418,1,Resource Shortage,0,,2025-09-01,2025-09-14
48,Seize real-time schemas,user10,Assigned,Medium,Project_B,7.84,0,,3,Lead her safe list heavy consumer term.,2025-08-21,2025-08-30
49,Transition impactful platforms,user7,Blocked,Low,Project_C,8.297698858676512,1,Technical Issue,0,,2025-10-29,2025-11-05
50,Leverage mission-critical methodologies,user3,Completed,High,Project_J,5.41,0,Resource Shortage,0,,2025-11-10,2025-11-16
51,Iterate back-end initiatives,user5,Completed,Medium,Project_B,4.95,0,Dependency,1,,2025-08-17,2025-08-22
52,Engineer impactful platforms,user6,Completed,Medium,Project_D,14.97,0,Resource Shortage,1,,2025-12-13,2025-12-28
53,Synergize wireless web services,user9,Blocked,Medium,Project_D,8.958956500740166,1,Dependency,0,,2025-09-11,2025-09-20
54,Expedite 24/365 supply-chains,user2,Blocked,High,Project_G,14.544098963088523,1,Approval,0,Cup future meeting mother impact simple anything.,2025-08-30,2025-09-13
55,Iterate customized networks,user5,Completed,High,Project_D,7.607446085162781,1,Technical Issue,3,Happen perform store always prevent stuff.,2025-09-11,2025-09-20
56,Monetize ubiquitous technologies,user5,In Progress,Medium,Project_G,10.66,0,Resource Shortage,0,Congress street purpose might floor sign effort.,2025-12-12,2025-12-23
57,Enhance granular supply-chains,user1,In Progress,Medium,Project_A,2.47,0,Dependency,3,Recently because and line body.,2025-07-29,2025-08-02
58,Repurpose user-centric methodologies,user6,Blocked,High,Project_A,10.82,0,Resource Shortage,0,Skill sound free why.,2026-01-12,2026-01-24
59,Redefine wireless roi,user8,Blocked,Medium,Project_A,1.71,0,Technical Issue,0,Play space to class computer study happy.,2025-11-23,2025-11-25
60,Revolutionize innovative platforms,user7,Blocked,Medium,Project_H,8.92,0,,1,,2025-12-25,2026-01-02
61,Integrate holistic mindshare,user1,In Progress,High,Project_I,2.62,0,Approval,0,,2025-11-11,2025-11-15
62,Grow out-of-the-box web services,user7,Completed,High,Project_J,11.31,0,Technical Issue,0,Modern example story ten.,2025-09-26,2025-10-07
63,Engage interactive metrics,user4,Blocked,High,Project_A,4.64,0,Dependency,0,Realize month light image weight head.,2025-08-19,2025-08-23
64,Re-intermediate real-time initiatives,user8,In Progress,Low,Project_A,6.51,0,,0,Two little outside blood occur.,2025-08-08,2025-08-14
65,Empower bleeding-edge systems,user7,Blocked,High,Project_E,5.26,0,,1,Hit thing note no my sell.,2025-11-27,2025-12-03
66,Drive dot-com infrastructures,user8,Assigned,Low,Project_C,4.2,0,Technical Issue,0,,2026-01-19,2026-01-24
67,Iterate 24/365 technologies,user10,Blocked,High,Project_B,2.36,0,,2,,2025-09-25,2025-09-27
68,Synergize back-end models,user5,Completed,Medium,Project_A,9.881274327461552,1,Dependency,1,,2025-09-06,2025-09-14
69,Cultivate impactful applications,user6,Blocked,Low,Project_G,6.92,0,Resource Shortage,2,,2025-09-25,2025-10-02
70,Implement visionary functionalities,user2,In Progress,Low,Project_B,5.91,0,Resource Shortage,0,,2025-11-16,2025-11-21
71,Re-intermediate mission-critical action-items,user3,Assigned,Medium,Project_I,12.843767934080747,1,Resource Shortage,0,,2025-08-20,2025-09-03
72,Generate global technologies,user6,Blocked,Medium,Project_J,6.752357624810324,1,Resource Shortage,0,,2026-01-09,2026-01-16
73,Exploit value-added technologies,user4,Blocked,Low,Project_I,5.48,0,Approval,0,,2025-08-25,2025-08-30
74,Enhance value-added applications,user6,Blocked,Medium,Project_I,7.96,0,Dependency,0,Buy player measure among woman individual.,2025-08-23,2025-09-01
75,Expedite revolutionary methodologies,user5,Blocked,Low,Project_J,3.85,0,Resource Shortage,0,Against ten else door near though.,2025-08-09,2025-08-14
76,Engineer plug-and-play methodologies,user9,In Progress,Medium,Project_D,8.46,0,Dependency,2,To remain grow movie I.,2025-10-03,2025-10-11
77,Enhance virtual e-commerce,user8,Assigned,Medium,Project_A,12.326708042968136,1,Approval,0,Star physical rise sure use.,2025-08-06,2025-08-18
78,Aggregate clicks-and-mortar supply-chains,user1,Assigned,Medium,Project_G,11.534772430091046,1,,3,,2025-08-16,2025-08-27
79,Drive cross-platform platforms,user6,Completed,Low,Project_I,1.77,0,Technical Issue,1,,2025-07-27,2025-07-30
80,Repurpose seamless technologies,user4,Blocked,Medium,Project_A,9.57,0,Resource Shortage,3,Soon story manage worker.,2025-10-10,2025-10-19
81,Repurpose enterprise bandwidth,user5,Blocked,High,Project_I,7.103085358123481,1,Approval,3,,2025-07-31,2025-08-07
82,Envisioneer real-time e-tailers,user2,Assigned,Low,Project_D,3.1,0,Technical Issue,0,Speech specific nothing church floor whom former.,2025-12-06,2025-12-11
83,Orchestrate integrated infrastructures,user1,Completed,Low,Project_C,6.9447984430703,1,Resource Shortage,0,,2025-08-22,2025-08-27
84,Repurpose out-of-the-box e-services,user8,Assigned,Low,Project_J,5.64,0,Resource Shortage,1,Religious mind beat apply network sing.,2025-09-06,2025-09-13
85,Enhance web-enabled vortals,user1,Completed,Medium,Project_C,10.16,0,Dependency,0,,2025-10-29,2025-11-09
86,Enhance robust info-mediaries,user9,In Progress,Medium,Project_D,8.67,0,Technical Issue,1,,2025-12-29,2026-01-07
87,Streamline holistic e-services,user1,Blocked,Medium,Project_D,16.8747201939721,1,Technical Issue,0,Start certainly single here wall protect.,2025-08-27,2025-09-12
88,Matrix dynamic communities,user10,Completed,Medium,Project_G,15.442950079982104,1,,0,,2025-10-23,2025-11-08
89,Brand world-class niches,user1,Blocked,Medium,Project_J,14.067973998550876,1,Approval,0,,2025-08-05,2025-08-20
90,Redefine magnetic portals,user4,In Progress,High,Project_G,7.72,0,Dependency,0,Deal sign yes add.,2025-09-14,2025-09-21
91,Monetize clicks-and-mortar solutions,user1,Assigned,Medium,Project_G,6.526728842886593,1,,0,,2025-08-12,2025-08-17
92,Expedite 24/7 users,user9,Assigned,Medium,Project_H,12.844422302999119,1,Dependency,1,Control small body strong budget team environment.,2025-09-07,2025-09-18
93,Incentivize web-enabled relationships,user4,In Progress,Low,Project_B,5.376649793279325,1,Dependency,1,Cultural authority once movement one left fast.,2025-10-18,2025-10-22
94,Deliver bleeding-edge mindshare,user4,Blocked,Medium,Project_B,14.911538308277898,1,Approval,0,Before woman a analysis feeling couple.,2025-12-09,2025-12-23
95,Iterate global infrastructures,user10,In Progress,Medium,Project_F,9.81,0,Approval,1,,2025-11-18,2025-11-27
96,Grow clicks-and-mortar portals,user6,In Progress,Low,Project_E,4.669587058644873,1,Approval,0,Move wide well month range.,2025-11-29,2025-12-03
97,Matrix intuitive markets,user2,In Progress,Low,Project_J,3.61,0,,2,Democrat visit my light arm.,2025-09-25,2025-09-30
98,Embrace killer action-items,user7,Assigned,Medium,Project_H,4.2881839715518355,1,,0,,2025-10-21,2025-10-22
99,Orchestrate 24/365 deliverables,user8,Assigned,High,Project_I,14.25,0,Resource Shortage,2,Region news drop.,2025-10-23,2025-11-06
100,Morph distributed methodologies,user5,In Progress,Medium,Project_I,5.465675859034334,1,Dependency,0,Event lawyer hold each.,2026-01-05,2026-01-09
101,Grow holistic e-tailers,user1,Completed,High,Project_G,14.27,0,Approval,0,Fine either information black.,2025-10-20,2025-11-03
102,Synergize distributed e-business,user1,Blocked,Medium,Project_F,8.56,0,Technical Issue,0,Rather officer use activity ahead Democrat.,2025-08-06,2025-08-15
103,Brand ubiquitous deliverables,user10,Blocked,Medium,Project_J,14.851583907453174,1,Technical Issue,1,Capital art stuff place every relationship.,2026-01-02,2026-01-16
104,Engage innovative supply-chains,user3,In Progress,Low,Project_A,5.192686502444237,1,,3,,2025-12-03,2025-12-08
105,Cultivate virtual supply-chains,user9,Blocked,Low,Project_C,3.64,0,Dependency,3,Avoid whole management program sense itself best.,2026-01-10,2026-01-14
106,Expedite bleeding-edge eyeballs,user7,Blocked,High,Project_J,10.105426345088555,1,Dependency,0,,2025-10-31,2025-11-10
107,Target enterprise supply-chains,user1,Assigned,Medium,Project_B,6.538925703193317,1,Approval,1,Common small pass now head business return.,2025-11-03,2025-11-09
108,Productize wireless models,user10,In Progress,Medium,Project_B,11.77,0,Dependency,1,Customer cause court full about field.,2025-10-08,2025-10-19
109,Re-intermediate ubiquitous networks,user3,In Progress,Medium,Project_I,3.17,0,Resource Shortage,0,Next his during finish foot.,2025-07-31,2025-08-03
110,Incubate innovative mindshare,user7,In Progress,Low,Project_J,4.71,0,Technical Issue,1,,2026-01-08,2026-01-13
111,Empower back-end models,user3,Blocked,High,Project_H,4.901592835042861,1,Dependency,0,Challenge walk summer firm development identify.,2025-08-17,2025-08-19
112,Implement integrated convergence,user2,Assigned,Low,Project_B,0.58,0,Technical Issue,0,Run keep clear choose structure within.,2025-07-28,2025-07-29
113,Generate enterprise users,user4,Blocked,Medium,Project_E,11.26,0,Technical Issue,0,Same capital anything person.,2026-01-18,2026-01-29
114,Incubate global supply-chains,user1,Assigned,Medium,Project_F,10.85,0,,2,Movement there claim development gas pay beautiful.,2025-09-19,2025-09-30
115,Deliver one-to-one infrastructures,user7,In Progress,High,Project_G,7.700520090111713,1,Dependency,3,,2025-08-31,2025-09-05
116,Strategize enterprise e-services,user3,Assigned,High,Project_D,5.363215224858523,1,,1,,2025-10-11,2025-10-15
117,Expedite user-centric content,user2,Assigned,High,Project_F,15.123584159110699,1,Approval,0,Democrat within final.,2025-08-06,2025-08-19
118,Embrace efficient architectures,user8,Completed,Low,Project_H,6.83784091081182,1,Approval,1,Account fear particular turn.,2025-10-11,2025-10-17
119,Mesh cross-platform info-mediaries,user8,Assigned,Medium,Project_D,10.08,0,Technical Issue,0,Factor wind their stage.,2025-09-22,2025-10-03
120,Leverage strategic supply-chains,user10,Blocked,High,Project_F,11.74294258414185,1,,0,,2025-11-07,2025-11-18
121,Cultivate out-of-the-box solutions,user5,Completed,Medium,Project_D,12.07310169488402,1,Dependency,1,,2025-07-22,2025-08-03
122,Innovate collaborative systems,user5,Completed,Low,Project_D,2.81,0,Dependency,1,,2025-10-18,2025-10-20
123,Deliver revolutionary channels,user3,Completed,High,Project_G,8.686352200407397,1,Technical Issue,0,West list should fall.,2026-01-10,2026-01-17
124,Transition virtual methodologies,user5,Assigned,Medium,Project_I,1.81,0,Technical Issue,1,,2025-08-02,2025-08-03
125,Scale plug-and-play supply-chains,user2,In Progress,High,Project_B,3.088622223190152,1,,0,You consider term red.,2025-11-09,2025-11-10
126,Aggregate open-source architectures,user7,Completed,Medium,Project_B,8.14,0,,1,,2025-12-15,2025-12-24
127,Expedite collaborative info-mediaries,user9,Completed,Low,Project_B,3.24,0,Resource Shortage,0,,2025-09-02,2025-09-05
128,Morph world-class experiences,user7,Assigned,High,Project_J,1.87,0,,1,Phone third improve range check.,2025-09-14,2025-09-15
129,Scale extensible e-services,user3,In Progress,Low,Project_J,6.57,0,Approval,1,,2025-08-27,2025-09-04
130,Re-contextualize collaborative functionalities,user2,Assigned,Medium,Project_F,5.81,0,Approval,0,Allow without throughout participant woman through majority sense.,2025-09-29,2025-10-05
131,Drive seamless models,user3,In Progress,High,Project_G,11.088567338070018,1,Resource Shortage,1,Five shake focus why few stock.,2025-12-10,2025-12-19
132,Optimize dynamic deliverables,user9,Blocked,High,Project_A,6.04,0,Dependency,0,,2025-09-13,2025-09-19
133,E-enable rich partnerships,user9,In Progress,Medium,Project_G,11.42,0,,3,Wish watch particularly organization no during total.,2025-08-31,2025-09-13
134,Unleash interactive communities,user9,Assigned,High,Project_C,14.38530602070125,1,Resource Shortage,3,Laugh design admit compare career.,2025-11-21,2025-12-05
135,Disintermediate cross-platform relationships,user1,Assigned,High,Project_B,14.266580124694107,1,,1,Girl within owner audience feeling condition cold.,2025-08-29,2025-09-13
136,Strategize bleeding-edge roi,user2,Completed,Medium,Project_E,6.96,0,Technical Issue,2,,2025-07-26,2025-08-01
137,Extend visionary infrastructures,user7,Assigned,Medium,Project_E,11.619645276462759,1,Technical Issue,0,Dinner goal food or politics professor.,2025-12-31,2026-01-12
138,Envisioneer distributed networks,user9,Assigned,Medium,Project_I,10.571601471085192,1,Approval,0,Food several improve sound opportunity born.,2025-11-19,2025-11-28
139,Enable real-time relationships,user7,Assigned,Medium,Project_F,13.5,0,,1,College he senior.,2025-07-27,2025-08-10
140,Incubate end-to-end paradigms,user9,Blocked,High,Project_G,12.812413519803293,1,Resource Shortage,1,,2026-01-18,2026-02-01
141,Evolve best-of-breed bandwidth,user9,Assigned,Medium,Project_A,12.410568833822298,1,,3,Scientist clear man.,2025-11-07,2025-11-18
142,Morph best-of-breed roi,user8,Blocked,Low,Project_B,1.8545410927218997,1,,0,Material like your stuff speech meeting value.,2025-08-09,2025-08-10
143,Leverage bricks-and-clicks roi,user2,Blocked,High,Project_F,2.71,0,,2,Site focus environmental girl purpose yes.,2025-12-03,2025-12-06
144,Engage b2b solutions,user1,Assigned,Low,Project_H,2.5187328949005443,1,Technical Issue,2,,2025-12-04,2025-12-06
145,Synthesize value-added synergies,user2,In Progress,High,Project_F,12.83194483409846,1,,0,Respond set about door with whether citizen.,2025-11-19,2025-12-01
146,Iterate transparent supply-chains,user4,In Progress,Medium,Project_A,7.113551846139539,1,Approval,0,,2025-11-06,2025-11-12
147,Transform leading-edge roi,user7,Assigned,Low,Project_E,5.47,0,Technical Issue,1,,2025-12-05,2025-12-12
148,Facilitate dynamic partnerships,user5,Assigned,Medium,Project_C,14.76,0,Approval,1,Author main husband color newspaper.,2025-12-03,2025-12-18
149,Transform killer supply-chains,user3,Completed,Low,Project_B,5.133849148912994,1,Approval,1,Better few increase teacher mission music specific send.,2025-11-21,2025-11-24
150,Matrix seamless experiences,user3,In Progress,Medium,Project_H,7.73,0,Dependency,1,,2025-09-02,2025-09-11
151,Productize strategic vortals,user7,In Progress,High,Project_I,8.89,0,,0,Safe low represent back without tax agree.,2025-11-07,2025-11-17
152,Incentivize back-end web services,user2,In Progress,Medium,Project_B,9.63,0,Approval,0,,2025-10-30,2025-11-08
153,Brand enterprise users,user9,In Progress,Medium,Project_I,3.85,0,Dependency,0,Allow piece material people each marriage season friend.,2025-07-29,2025-08-01
154,Enhance synergistic metrics,user8,Blocked,Low,Project_D,4.22,0,Dependency,3,Kind officer buy including community this player.,2025-09-30,2025-10-05
155,Leverage back-end architectures,user4,Blocked,Medium,Project_B,10.33,0,Resource Shortage,0,Authority avoid soldier consumer treatment oil mind.,2025-12-31,2026-01-10
156,Streamline magnetic channels,user10,Assigned,Medium,Project_D,2.13,0,Dependency,0,Whom manager look.,2025-10-30,2025-11-02
157,Engineer collaborative e-tailers,user5,Assigned,Medium,Project_G,9.64765159838623,1,,1,Relate hundred go none.,2025-11-02,2025-11-10
158,Visualize scalable metrics,user9,Completed,Medium,Project_H,14.98216940023779,1,Approval,1,Cell decade place pattern rich.,2025-09-01,2025-09-16
159,Cultivate front-end info-mediaries,user9,In Progress,Medium,Project_G,7.53,0,Technical Issue,2,,2025-10-28,2025-11-04
160,Cultivate revolutionary markets,user10,Blocked,Medium,Project_A,1.79,0,Technical Issue,1,Ball live join for skill same soldier.,2025-11-24,2025-11-27
161,Expedite granular synergies,user2,Blocked,High,Project_I,14.86404510141227,1,,2,Build modern culture available play along here.,2025-09-13,2025-09-27
162,Enable world-class e-markets,user6,Completed,High,Project_G,2.94,0,Technical Issue,0,Call authority character there.,2025-11-30,2025-12-02
163,Syndicate innovative supply-chains,user10,In Progress,Medium,Project_D,10.07,0,Approval,0,,2025-08-28,2025-09-09
164,Leverage end-to-end infrastructures,user3,Blocked,High,Project_D,3.1783709810477623,1,Dependency,0,Set option explain job wrong.,2025-10-25,2025-10-28
165,Aggregate collaborative convergence,user6,Blocked,Medium,Project_F,2.52,0,Resource Shortage,2,,2025-08-30,2025-09-01
166,Engineer b2c niches,user9,In Progress,Low,Project_G,6.63,0,,1,,2025-09-18,2025-09-25
167,Revolutionize rich convergence,user5,Completed,High,Project_A,6.55,0,Technical Issue,0,Receive physical process glass.,2025-12-20,2025-12-26
168,Engage end-to-end e-commerce,user10,Blocked,Low,Project_C,8.10094481356789,1,Approval,0,,2025-12-31,2026-01-07
169,Matrix extensible initiatives,user9,Blocked,Low,Project_D,4.17,0,Technical Issue,1,Voice truth leave born sound hope long.,2025-11-19,2025-11-23
170,Productize front-end platforms,user8,In Progress,Medium,Project_E,8.74,0,Approval,0,Itself best enter right him south.,2025-10-20,2025-10-30
171,Engineer virtual partnerships,user1,Assigned,Low,Project_B,8.675067887167163,1,Resource Shortage,0,,2025-08-28,2025-09-03
172,Orchestrate b2c portals,user6,Assigned,Medium,Project_H,3.83,0,Technical Issue,0,Decision adult less building.,2025-09-25,2025-09-30
173,Optimize interactive experiences,user1,Blocked,Medium,Project_C,3.62,0,Approval,0,Our human actually section.,2026-01-18,2026-01-22
174,Reinvent collaborative synergies,user1,Completed,High,Project_A,10.12,0,Dependency,1,Reveal begin move partner speak.,2025-08-12,2025-08-24
175,Harness web-enabled e-commerce,user3,In Progress,Medium,Project_J,10.059141665365875,1,Resource Shortage,1,,2025-07-27,2025-08-07
176,Target next-generation mindshare,user2,Blocked,Low,Project_B,1.26,0,Dependency,2,Can listen concern recent.,2025-12-30,2026-01-02
177,Mesh integrated e-markets,user6,In Progress,High,Project_E,3.93,0,,3,,2025-11-02,2025-11-07
178,Benchmark innovative deliverables,user2,In Progress,High,Project_A,11.876064012026987,1,,0,Meeting future how live growth factor newspaper.,2025-07-26,2025-08-07
179,Mesh sticky partnerships,user3,Assigned,Medium,Project_B,11.875515339270228,1,Technical Issue,1,Most should smile high sometimes throughout late.,2025-12-20,2025-12-28
180,E-enable transparent synergies,user8,In Progress,Low,Project_C,5.191697298358513,1,Approval,0,Material others before middle central price reality group.,2025-09-29,2025-10-03
181,Enable sticky users,user3,Blocked,Low,Project_B,8.139009359400278,1,Approval,0,Star they avoid first.,2026-01-08,2026-01-16
182,Reinvent collaborative initiatives,user2,In Progress,Medium,Project_B,9.592585135222638,1,Approval,0,,2025-10-08,2025-10-17
183,Reinvent enterprise e-tailers,user10,In Progress,Medium,Project_E,8.57,0,Technical Issue,2,,2026-01-06,2026-01-14
184,Engineer open-source e-tailers,user6,Assigned,Medium,Project_C,4.57,0,,0,Find smile factor player base choose.,2025-12-30,2026-01-04
185,Maximize enterprise functionalities,user7,Assigned,Medium,Project_H,14.09,0,Technical Issue,0,Attention end likely letter floor process.,2025-07-28,2025-08-11
186,Synthesize cutting-edge relationships,user1,Assigned,Medium,Project_A,7.394436834235287,1,Resource Shortage,1,Knowledge fear evidence information professional action.,2025-08-31,2025-09-07
187,Maximize revolutionary technologies,user5,In Progress,Low,Project_E,1.2,0,Approval,1,,2025-08-03,2025-08-06
188,Target impactful infrastructures,user7,Blocked,Medium,Project_G,13.34,0,Approval,0,,2025-07-31,2025-08-15
189,Visualize collaborative portals,user9,In Progress,Low,Project_I,1.36,0,Approval,0,,2025-12-11,2025-12-12
190,Syndicate collaborative e-markets,user8,Blocked,Medium,Project_J,6.31,0,Technical Issue,0,Require whatever notice change rock hour product.,2025-11-18,2025-11-25
191,Harness next-generation niches,user1,Assigned,High,Project_J,7.729067394514409,1,Technical Issue,0,Vote fish ahead.,2025-12-30,2026-01-07
192,Cultivate visionary schemas,user4,Blocked,Medium,Project_B,2.33,0,Resource Shortage,0,Capital door successful theory company this us.,2025-11-15,2025-11-17
193,Implement efficient metrics,user10,Blocked,Low,Project_F,6.26,0,Technical Issue,0,Home collection least our again young executive.,2025-09-09,2025-09-15
194,Scale vertical deliverables,user2,Blocked,Medium,Project_F,9.29,0,Dependency,0,,2025-10-09,2025-10-19
195,Unleash next-generation web-readiness,user5,Blocked,High,Project_J,8.12,0,Dependency,0,Score major Mr late leader subject about.,2025-10-23,2025-11-02
196,Mesh bleeding-edge models,user2,Assigned,Low,Project_G,4.4,0,Technical Issue,0,,2025-10-09,2025-10-14
197,Deploy extensible vortals,user7,Blocked,Medium,Project_J,16.383925117844946,1,,3,,2025-09-24,2025-10-09
198,Enable proactive paradigms,user2,Completed,Medium,Project_I,12.21,0,Dependency,3,Product member kind.,2025-09-09,2025-09-22
199,Syndicate visionary action-items,user6,In Progress,High,Project_J,3.37,0,Dependency,0,Actually success should can.,2025-10-11,2025-10-16
200,E-enable wireless functionalities,user7,Blocked,Medium,Project_F,5.37,0,Technical Issue,0,,2025-12-30,2026-01-04
201,Brand enterprise networks,user5,Completed,Low,Project_A,7.142627372334947,1,Approval,0,Will past property response hundred energy look.,2025-11-06,2025-11-14
202,Disintermediate compelling communities,user5,In Progress,High,Project_F,7.44,0,Approval,0,Series season two put itself down one.,2026-01-20,2026-01-27
203,Drive intuitive vortals,user1,Blocked,Medium,Project_B,6.83,0,Technical Issue,3,Remain develop institution husband certainly care.,2025-11-07,2025-11-13
204,Exploit out-of-the-box models,user7,In Progress,Medium,Project_I,12.118502072761437,1,Technical Issue,0,Benefit force reason culture project.,2025-12-31,2026-01-12
205,Mesh customized convergence,user1,Blocked,Medium,Project_C,1.8,0,,0,High position up some service maybe spring.,2025-09-06,2025-09-08
206,Re-contextualize out-of-the-box models,user9,In Progress,High,Project_D,4.73,0,Resource Shortage,0,Wall follow property conference.,2025-11-14,2025-11-20
207,Integrate user-centric partnerships,user8,Blocked,Low,Project_F,5.61,0,Technical Issue,0,Health quickly tell speak occur.,2025-08-07,2025-08-14
