task_id,task_name,assignee,status,priority,project,actual_duration,is_delayed,bottleneck_type,reassignment_count,comments,start_date,end_date,task_name_length,comment_length,has_comment,has_bottleneck,reassignment_flag,priority_ordinal,date_range,assignee_encoded,project_encoded,status_encoded,assignee_avg_duration,assignee_std_duration,assignee_task_count,assignee_median_duration,assignee_delay_rate,project_avg_duration,project_task_count,project_delay_rate
18,Implement clicks-and-mortar web-readiness,user8,In Progress,Medium,Project_A,3.0,0,Approval,0,Should reduce field when knowledge.,2025-11-23,2025-11-26,41,35,1,1,0,2,3,8,0,3,5.714285714285714,2.979093821953246,49,5.0,0.3469387755102041,6.6440677966101696,59,0.3389830508474576
19,Scale front-end e-commerce,user4,Completed,Low,Project_I,5.0,0,Dependency,1,Take or always social road crime lead throughout.,2026-01-20,2026-01-25,26,49,1,1,1,1,5,4,8,2,7.770833333333333,4.090672229692834,48,7.0,0.3333333333333333,7.530612244897959,49,0.4489795918367347
20,Deploy customized metrics,user5,Blocked,High,Project_A,8.0,1,Resource Shortage,1,,2025-10-10,2025-10-19,25,0,0,1,1,3,9,5,0,1,6.947368421052632,4.5490228645893165,57,7.0,0.42105263157894735,6.6440677966101696,59,0.3389830508474576
21,Facilitate seamless e-business,user9,In Progress,Medium,Project_B,16.0,1,Technical Issue,0,Director time direction.,2026-01-02,2026-01-15,30,24,1,1,0,2,13,9,1,3,7.981481481481482,4.81150641589686,54,8.0,0.4444444444444444,6.982142857142857,56,0.5178571428571429
22,Drive global users,user2,In Progress,High,Project_E,12.0,0,Technical Issue,0,Question power whole rest enough blood site.,2025-10-27,2025-11-10,18,44,1,1,0,3,14,2,4,3,7.054545454545455,4.486267861664005,55,6.0,0.43636363636363634,7.093023255813954,43,0.3023255813953488
23,Facilitate strategic users,user3,Blocked,Low,Project_I,3.0,0,Dependency,1,,2025-11-08,2025-11-12,26,0,0,1,1,1,4,3,8,1,7.416666666666667,3.785938897200183,48,7.0,0.4791666666666667,7.530612244897959,49,0.4489795918367347
24,Maximize plug-and-play convergence,user10,Assigned,Medium,Project_H,4.0,0,Approval,1,Red employee indeed research report most either.,2025-07-24,2025-07-29,34,48,1,1,1,2,5,1,7,0,7.085714285714285,4.33434592780142,35,6.0,0.3142857142857143,7.0227272727272725,44,0.5
25,Leverage compelling systems,user2,Assigned,Medium,Project_A,8.0,0,Resource Shortage,0,Myself military community.,2025-09-18,2025-09-27,27,26,1,1,0,2,9,2,0,0,7.054545454545455,4.486267861664005,55,6.0,0.43636363636363634,6.6440677966101696,59,0.3389830508474576
26,Empower transparent e-business,user6,Assigned,High,Project_F,13.0,0,Technical Issue,2,,2025-07-24,2025-08-08,30,0,0,1,1,3,15,6,5,0,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,7.744186046511628,43,0.3023255813953488
27,Syndicate back-end applications,user10,Blocked,Medium,Project_B,13.0,1,,3,Probably investment gas industry next commercial.,2025-11-10,2025-11-23,31,49,1,0,1,2,13,1,1,1,7.085714285714285,4.33434592780142,35,6.0,0.3142857142857143,6.982142857142857,56,0.5178571428571429
28,Aggregate sticky solutions,user9,In Progress,High,Project_I,15.0,1,Approval,0,,2025-12-26,2026-01-08,26,0,0,1,0,3,13,9,8,3,7.981481481481482,4.81150641589686,54,8.0,0.4444444444444444,7.530612244897959,49,0.4489795918367347
29,Envisioneer rich solutions,user10,Assigned,High,Project_I,14.0,0,Resource Shortage,1,,2025-08-11,2025-08-26,26,0,0,1,1,3,15,1,8,0,7.085714285714285,4.33434592780142,35,6.0,0.3142857142857143,7.530612244897959,49,0.4489795918367347
30,Deploy b2b vortals,user8,In Progress,Medium,Project_B,6.0,0,,1,Change recognize might want thought.,2025-10-17,2025-10-25,18,36,1,0,1,2,8,8,1,3,5.714285714285714,2.979093821953246,49,5.0,0.3469387755102041,6.982142857142857,56,0.5178571428571429
31,Incubate viral synergies,user8,Completed,Medium,Project_J,3.0,1,Technical Issue,0,Be range city professional bill minute.,2025-11-07,2025-11-10,24,39,1,1,0,2,3,8,9,2,5.714285714285714,2.979093821953246,49,5.0,0.3469387755102041,6.836363636363636,55,0.3090909090909091
32,Integrate best-of-breed communities,user5,Completed,High,Project_C,14.0,1,Resource Shortage,1,Heavy member character out sit hear strong until.,2025-08-03,2025-08-17,35,49,1,1,1,3,14,5,2,2,6.947368421052632,4.5490228645893165,57,7.0,0.42105263157894735,7.044444444444444,45,0.4666666666666667
33,Integrate world-class deliverables,user6,Completed,High,Project_C,5.0,1,Resource Shortage,3,Phone program billion people rather thousand.,2025-09-04,2025-09-08,34,45,1,1,1,3,4,6,2,2,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,7.044444444444444,45,0.4666666666666667
34,E-enable distributed content,user9,Blocked,High,Project_H,11.0,1,Resource Shortage,0,Political thing stand he.,2025-10-29,2025-11-08,28,25,1,1,0,3,10,9,7,1,7.981481481481482,4.81150641589686,54,8.0,0.4444444444444444,7.0227272727272725,44,0.5
35,Benchmark clicks-and-mortar convergence,user2,Assigned,High,Project_H,6.0,0,Dependency,0,Rule live audience worry couple again then show.,2025-11-29,2025-12-07,39,48,1,1,0,3,8,2,7,0,7.054545454545455,4.486267861664005,55,6.0,0.43636363636363634,7.0227272727272725,44,0.5
36,Engineer back-end channels,user9,In Progress,Medium,Project_H,12.0,0,Resource Shortage,1,Front eye task make third.,2025-12-31,2026-01-13,26,26,1,1,1,2,13,9,7,3,7.981481481481482,4.81150641589686,54,8.0,0.4444444444444444,7.0227272727272725,44,0.5
37,Monetize innovative partnerships,user3,Blocked,Medium,Project_J,13.0,1,Resource Shortage,1,Recently important the you.,2026-01-02,2026-01-17,32,27,1,1,1,2,15,3,9,1,7.416666666666667,3.785938897200183,48,7.0,0.4791666666666667,6.836363636363636,55,0.3090909090909091
38,Incubate viral portals,user10,Completed,High,Project_F,1.0,0,Technical Issue,0,Population boy billion lay role.,2025-07-30,2025-07-31,22,32,1,1,0,3,1,1,5,2,7.085714285714285,4.33434592780142,35,6.0,0.3142857142857143,7.744186046511628,43,0.3023255813953488
39,Redefine rich functionalities,user1,In Progress,High,Project_A,1.0,0,,0,,2025-12-19,2025-12-20,29,0,0,0,0,3,1,0,0,3,7.84,4.581952172850095,50,7.0,0.46,6.6440677966101696,59,0.3389830508474576
40,Extend cutting-edge schemas,user2,Completed,Low,Project_G,6.0,0,Technical Issue,3,Knowledge shoulder impact think.,2025-08-26,2025-09-02,27,32,1,1,1,1,7,2,6,2,7.054545454545455,4.486267861664005,55,6.0,0.43636363636363634,8.527272727272727,55,0.43636363636363634
41,Aggregate interactive roi,user5,Completed,High,Project_G,8.0,0,Technical Issue,0,,2025-11-21,2025-12-01,25,0,0,1,0,3,10,5,6,2,6.947368421052632,4.5490228645893165,57,7.0,0.42105263157894735,8.527272727272727,55,0.43636363636363634
42,Engage 24/7 mindshare,user3,In Progress,Medium,Project_I,8.0,0,Dependency,1,Network adult give carry win good section.,2025-09-13,2025-09-21,21,42,1,1,1,2,8,3,8,3,7.416666666666667,3.785938897200183,48,7.0,0.4791666666666667,7.530612244897959,49,0.4489795918367347
43,Innovate out-of-the-box action-items,user10,Assigned,Medium,Project_B,4.0,0,Resource Shortage,1,Head avoid thought good political here.,2025-10-07,2025-10-12,36,39,1,1,1,2,5,1,1,0,7.085714285714285,4.33434592780142,35,6.0,0.3142857142857143,6.982142857142857,56,0.5178571428571429
44,Morph user-centric applications,user8,Blocked,Medium,Project_I,2.0,0,Approval,0,Wait shoulder story experience us bank yeah.,2025-09-05,2025-09-09,31,44,1,1,0,2,4,8,8,1,5.714285714285714,2.979093821953246,49,5.0,0.3469387755102041,7.530612244897959,49,0.4489795918367347
45,Visualize one-to-one synergies,user2,Completed,Medium,Project_B,4.0,1,Dependency,0,Whole design sure recent stage reflect parent.,2025-09-23,2025-09-26,30,46,1,1,0,2,3,2,1,2,7.054545454545455,4.486267861664005,55,6.0,0.43636363636363634,6.982142857142857,56,0.5178571428571429
46,Empower interactive communities,user6,Assigned,Medium,Project_G,2.0,0,Dependency,0,Quality sport hard many speech help event.,2025-12-22,2025-12-24,31,42,1,1,0,2,2,6,6,0,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,8.527272727272727,55,0.43636363636363634
47,Deliver sticky partnerships,user3,Assigned,High,Project_F,12.0,1,Resource Shortage,0,,2025-09-01,2025-09-14,27,0,0,1,0,3,13,3,5,0,7.416666666666667,3.785938897200183,48,7.0,0.4791666666666667,7.744186046511628,43,0.3023255813953488
48,Seize real-time schemas,user10,Assigned,Medium,Project_B,7.0,0,,3,Lead her safe list heavy consumer term.,2025-08-21,2025-08-30,23,39,1,0,1,2,9,1,1,0,7.085714285714285,4.33434592780142,35,6.0,0.3142857142857143,6.982142857142857,56,0.5178571428571429
49,Transition impactful platforms,user7,Blocked,Low,Project_C,8.0,1,Technical Issue,0,,2025-10-29,2025-11-05,30,0,0,1,0,1,7,7,2,1,8.415094339622641,4.249135487928696,53,8.0,0.5660377358490566,7.044444444444444,45,0.4666666666666667
50,Leverage mission-critical methodologies,user3,Completed,High,Project_J,5.0,0,Resource Shortage,0,,2025-11-10,2025-11-16,39,0,0,1,0,3,6,3,9,2,7.416666666666667,3.785938897200183,48,7.0,0.4791666666666667,6.836363636363636,55,0.3090909090909091
51,Iterate back-end initiatives,user5,Completed,Medium,Project_B,4.0,0,Dependency,1,,2025-08-17,2025-08-22,28,0,0,1,1,2,5,5,1,2,6.947368421052632,4.5490228645893165,57,7.0,0.42105263157894735,6.982142857142857,56,0.5178571428571429
52,Engineer impactful platforms,user6,Completed,Medium,Project_D,14.0,0,Resource Shortage,1,,2025-12-13,2025-12-28,28,0,0,1,1,2,15,6,3,2,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,7.764705882352941,51,0.5098039215686274
53,Synergize wireless web services,user9,Blocked,Medium,Project_D,8.0,1,Dependency,0,,2025-09-11,2025-09-20,31,0,0,1,0,2,9,9,3,1,7.981481481481482,4.81150641589686,54,8.0,0.4444444444444444,7.764705882352941,51,0.5098039215686274
54,Expedite 24/365 supply-chains,user2,Blocked,High,Project_G,14.0,1,Approval,0,Cup future meeting mother impact simple anything.,2025-08-30,2025-09-13,29,49,1,1,0,3,14,2,6,1,7.054545454545455,4.486267861664005,55,6.0,0.43636363636363634,8.527272727272727,55,0.43636363636363634
55,Iterate customized networks,user5,Completed,High,Project_D,7.0,1,Technical Issue,3,Happen perform store always prevent stuff.,2025-09-11,2025-09-20,27,42,1,1,1,3,9,5,3,2,6.947368421052632,4.5490228645893165,57,7.0,0.42105263157894735,7.764705882352941,51,0.5098039215686274
56,Monetize ubiquitous technologies,user5,In Progress,Medium,Project_G,10.0,0,Resource Shortage,0,Congress street purpose might floor sign effort.,2025-12-12,2025-12-23,32,48,1,1,0,2,11,5,6,3,6.947368421052632,4.5490228645893165,57,7.0,0.42105263157894735,8.527272727272727,55,0.43636363636363634
57,Enhance granular supply-chains,user1,In Progress,Medium,Project_A,2.0,0,Dependency,3,Recently because and line body.,2025-07-29,2025-08-02,30,31,1,1,1,2,4,0,0,3,7.84,4.581952172850095,50,7.0,0.46,6.6440677966101696,59,0.3389830508474576
58,Repurpose user-centric methodologies,user6,Blocked,High,Project_A,10.0,0,Resource Shortage,0,Skill sound free why.,2026-01-12,2026-01-24,36,21,1,1,0,3,12,6,0,1,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,6.6440677966101696,59,0.3389830508474576
59,Redefine wireless roi,user8,Blocked,Medium,Project_A,1.0,0,Technical Issue,0,Play space to class computer study happy.,2025-11-23,2025-11-25,21,41,1,1,0,2,2,8,0,1,5.714285714285714,2.979093821953246,49,5.0,0.3469387755102041,6.6440677966101696,59,0.3389830508474576
60,Revolutionize innovative platforms,user7,Blocked,Medium,Project_H,8.0,0,,1,,2025-12-25,2026-01-02,34,0,0,0,1,2,8,7,7,1,8.415094339622641,4.249135487928696,53,8.0,0.5660377358490566,7.0227272727272725,44,0.5
61,Integrate holistic mindshare,user1,In Progress,High,Project_I,2.0,0,Approval,0,,2025-11-11,2025-11-15,28,0,0,1,0,3,4,0,8,3,7.84,4.581952172850095,50,7.0,0.46,7.530612244897959,49,0.4489795918367347
62,Grow out-of-the-box web services,user7,Completed,High,Project_J,11.0,0,Technical Issue,0,Modern example story ten.,2025-09-26,2025-10-07,32,25,1,1,0,3,11,7,9,2,8.415094339622641,4.249135487928696,53,8.0,0.5660377358490566,6.836363636363636,55,0.3090909090909091
63,Engage interactive metrics,user4,Blocked,High,Project_A,4.0,0,Dependency,0,Realize month light image weight head.,2025-08-19,2025-08-23,26,38,1,1,0,3,4,4,0,1,7.770833333333333,4.090672229692834,48,7.0,0.3333333333333333,6.6440677966101696,59,0.3389830508474576
64,Re-intermediate real-time initiatives,user8,In Progress,Low,Project_A,6.0,0,,0,Two little outside blood occur.,2025-08-08,2025-08-14,37,31,1,0,0,1,6,8,0,3,5.714285714285714,2.979093821953246,49,5.0,0.3469387755102041,6.6440677966101696,59,0.3389830508474576
65,Empower bleeding-edge systems,user7,Blocked,High,Project_E,5.0,0,,1,Hit thing note no my sell.,2025-11-27,2025-12-03,29,26,1,0,1,3,6,7,4,1,8.415094339622641,4.249135487928696,53,8.0,0.5660377358490566,7.093023255813954,43,0.3023255813953488
66,Drive dot-com infrastructures,user8,Assigned,Low,Project_C,4.0,0,Technical Issue,0,,2026-01-19,2026-01-24,29,0,0,1,0,1,5,8,2,0,5.714285714285714,2.979093821953246,49,5.0,0.3469387755102041,7.044444444444444,45,0.4666666666666667
67,Iterate 24/365 technologies,user10,Blocked,High,Project_B,2.0,0,,2,,2025-09-25,2025-09-27,27,0,0,0,1,3,2,1,1,1,7.085714285714285,4.33434592780142,35,6.0,0.3142857142857143,6.982142857142857,56,0.5178571428571429
68,Synergize back-end models,user5,Completed,Medium,Project_A,9.0,1,Dependency,1,,2025-09-06,2025-09-14,25,0,0,1,1,2,8,5,0,2,6.947368421052632,4.5490228645893165,57,7.0,0.42105263157894735,6.6440677966101696,59,0.3389830508474576
69,Cultivate impactful applications,user6,Blocked,Low,Project_G,6.0,0,Resource Shortage,2,,2025-09-25,2025-10-02,32,0,0,1,1,1,7,6,6,1,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,8.527272727272727,55,0.43636363636363634
70,Implement visionary functionalities,user2,In Progress,Low,Project_B,5.0,0,Resource Shortage,0,,2025-11-16,2025-11-21,35,0,0,1,0,1,5,2,1,3,7.054545454545455,4.486267861664005,55,6.0,0.43636363636363634,6.982142857142857,56,0.5178571428571429
71,Re-intermediate mission-critical action-items,user3,Assigned,Medium,Project_I,12.0,1,Resource Shortage,0,,2025-08-20,2025-09-03,45,0,0,1,0,2,14,3,8,0,7.416666666666667,3.785938897200183,48,7.0,0.4791666666666667,7.530612244897959,49,0.4489795918367347
72,Generate global technologies,user6,Blocked,Medium,Project_J,6.0,1,Resource Shortage,0,,2026-01-09,2026-01-16,28,0,0,1,0,2,7,6,9,1,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,6.836363636363636,55,0.3090909090909091
73,Exploit value-added technologies,user4,Blocked,Low,Project_I,5.0,0,Approval,0,,2025-08-25,2025-08-30,32,0,0,1,0,1,5,4,8,1,7.770833333333333,4.090672229692834,48,7.0,0.3333333333333333,7.530612244897959,49,0.4489795918367347
74,Enhance value-added applications,user6,Blocked,Medium,Project_I,7.0,0,Dependency,0,Buy player measure among woman individual.,2025-08-23,2025-09-01,32,42,1,1,0,2,9,6,8,1,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,7.530612244897959,49,0.4489795918367347
75,Expedite revolutionary methodologies,user5,Blocked,Low,Project_J,3.0,0,Resource Shortage,0,Against ten else door near though.,2025-08-09,2025-08-14,36,34,1,1,0,1,5,5,9,1,6.947368421052632,4.5490228645893165,57,7.0,0.42105263157894735,6.836363636363636,55,0.3090909090909091
76,Engineer plug-and-play methodologies,user9,In Progress,Medium,Project_D,8.0,0,Dependency,2,To remain grow movie I.,2025-10-03,2025-10-11,36,23,1,1,1,2,8,9,3,3,7.981481481481482,4.81150641589686,54,8.0,0.4444444444444444,7.764705882352941,51,0.5098039215686274
77,Enhance virtual e-commerce,user8,Assigned,Medium,Project_A,12.0,1,Approval,0,Star physical rise sure use.,2025-08-06,2025-08-18,26,28,1,1,0,2,12,8,0,0,5.714285714285714,2.979093821953246,49,5.0,0.3469387755102041,6.6440677966101696,59,0.3389830508474576
78,Aggregate clicks-and-mortar supply-chains,user1,Assigned,Medium,Project_G,11.0,1,,3,,2025-08-16,2025-08-27,41,0,0,0,1,2,11,0,6,0,7.84,4.581952172850095,50,7.0,0.46,8.527272727272727,55,0.43636363636363634
79,Drive cross-platform platforms,user6,Completed,Low,Project_I,1.0,0,Technical Issue,1,,2025-07-27,2025-07-30,30,0,0,1,1,1,3,6,8,2,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,7.530612244897959,49,0.4489795918367347
80,Repurpose seamless technologies,user4,Blocked,Medium,Project_A,9.0,0,Resource Shortage,3,Soon story manage worker.,2025-10-10,2025-10-19,31,25,1,1,1,2,9,4,0,1,7.770833333333333,4.090672229692834,48,7.0,0.3333333333333333,6.6440677966101696,59,0.3389830508474576
81,Repurpose enterprise bandwidth,user5,Blocked,High,Project_I,7.0,1,Approval,3,,2025-07-31,2025-08-07,30,0,0,1,1,3,7,5,8,1,6.947368421052632,4.5490228645893165,57,7.0,0.42105263157894735,7.530612244897959,49,0.4489795918367347
82,Envisioneer real-time e-tailers,user2,Assigned,Low,Project_D,3.0,0,Technical Issue,0,Speech specific nothing church floor whom former.,2025-12-06,2025-12-11,31,49,1,1,0,1,5,2,3,0,7.054545454545455,4.486267861664005,55,6.0,0.43636363636363634,7.764705882352941,51,0.5098039215686274
83,Orchestrate integrated infrastructures,user1,Completed,Low,Project_C,6.0,1,Resource Shortage,0,,2025-08-22,2025-08-27,38,0,0,1,0,1,5,0,2,2,7.84,4.581952172850095,50,7.0,0.46,7.044444444444444,45,0.4666666666666667
84,Repurpose out-of-the-box e-services,user8,Assigned,Low,Project_J,5.0,0,Resource Shortage,1,Religious mind beat apply network sing.,2025-09-06,2025-09-13,35,39,1,1,1,1,7,8,9,0,5.714285714285714,2.979093821953246,49,5.0,0.3469387755102041,6.836363636363636,55,0.3090909090909091
85,Enhance web-enabled vortals,user1,Completed,Medium,Project_C,10.0,0,Dependency,0,,2025-10-29,2025-11-09,27,0,0,1,0,2,11,0,2,2,7.84,4.581952172850095,50,7.0,0.46,7.044444444444444,45,0.4666666666666667
86,Enhance robust info-mediaries,user9,In Progress,Medium,Project_D,8.0,0,Technical Issue,1,,2025-12-29,2026-01-07,29,0,0,1,1,2,9,9,3,3,7.981481481481482,4.81150641589686,54,8.0,0.4444444444444444,7.764705882352941,51,0.5098039215686274
87,Streamline holistic e-services,user1,Blocked,Medium,Project_D,16.0,1,Technical Issue,0,Start certainly single here wall protect.,2025-08-27,2025-09-12,30,41,1,1,0,2,16,0,3,1,7.84,4.581952172850095,50,7.0,0.46,7.764705882352941,51,0.5098039215686274
88,Matrix dynamic communities,user10,Completed,Medium,Project_G,15.0,1,,0,,2025-10-23,2025-11-08,26,0,0,0,0,2,16,1,6,2,7.085714285714285,4.33434592780142,35,6.0,0.3142857142857143,8.527272727272727,55,0.43636363636363634
89,Brand world-class niches,user1,Blocked,Medium,Project_J,14.0,1,Approval,0,,2025-08-05,2025-08-20,24,0,0,1,0,2,15,0,9,1,7.84,4.581952172850095,50,7.0,0.46,6.836363636363636,55,0.3090909090909091
90,Redefine magnetic portals,user4,In Progress,High,Project_G,7.0,0,Dependency,0,Deal sign yes add.,2025-09-14,2025-09-21,25,18,1,1,0,3,7,4,6,3,7.770833333333333,4.090672229692834,48,7.0,0.3333333333333333,8.527272727272727,55,0.43636363636363634
91,Monetize clicks-and-mortar solutions,user1,Assigned,Medium,Project_G,6.0,1,,0,,2025-08-12,2025-08-17,36,0,0,0,0,2,5,0,6,0,7.84,4.581952172850095,50,7.0,0.46,8.527272727272727,55,0.43636363636363634
92,Expedite 24/7 users,user9,Assigned,Medium,Project_H,12.0,1,Dependency,1,Control small body strong budget team environment.,2025-09-07,2025-09-18,19,50,1,1,1,2,11,9,7,0,7.981481481481482,4.81150641589686,54,8.0,0.4444444444444444,7.0227272727272725,44,0.5
93,Incentivize web-enabled relationships,user4,In Progress,Low,Project_B,5.0,1,Dependency,1,Cultural authority once movement one left fast.,2025-10-18,2025-10-22,37,47,1,1,1,1,4,4,1,3,7.770833333333333,4.090672229692834,48,7.0,0.3333333333333333,6.982142857142857,56,0.5178571428571429
94,Deliver bleeding-edge mindshare,user4,Blocked,Medium,Project_B,14.0,1,Approval,0,Before woman a analysis feeling couple.,2025-12-09,2025-12-23,31,39,1,1,0,2,14,4,1,1,7.770833333333333,4.090672229692834,48,7.0,0.3333333333333333,6.982142857142857,56,0.5178571428571429
95,Iterate global infrastructures,user10,In Progress,Medium,Project_F,9.0,0,Approval,1,,2025-11-18,2025-11-27,30,0,0,1,1,2,9,1,5,3,7.085714285714285,4.33434592780142,35,6.0,0.3142857142857143,7.744186046511628,43,0.3023255813953488
96,Grow clicks-and-mortar portals,user6,In Progress,Low,Project_E,4.0,1,Approval,0,Move wide well month range.,2025-11-29,2025-12-03,30,27,1,1,0,1,4,6,4,3,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,7.093023255813954,43,0.3023255813953488
97,Matrix intuitive markets,user2,In Progress,Low,Project_J,3.0,0,,2,Democrat visit my light arm.,2025-09-25,2025-09-30,24,28,1,0,1,1,5,2,9,3,7.054545454545455,4.486267861664005,55,6.0,0.43636363636363634,6.836363636363636,55,0.3090909090909091
98,Embrace killer action-items,user7,Assigned,Medium,Project_H,4.0,1,,0,,2025-10-21,2025-10-22,27,0,0,0,0,2,1,7,7,0,8.415094339622641,4.249135487928696,53,8.0,0.5660377358490566,7.0227272727272725,44,0.5
99,Orchestrate 24/365 deliverables,user8,Assigned,High,Project_I,14.0,0,Resource Shortage,2,Region news drop.,2025-10-23,2025-11-06,31,17,1,1,1,3,14,8,8,0,5.714285714285714,2.979093821953246,49,5.0,0.3469387755102041,7.530612244897959,49,0.4489795918367347
100,Morph distributed methodologies,user5,In Progress,Medium,Project_I,5.0,1,Dependency,0,Event lawyer hold each.,2026-01-05,2026-01-09,31,23,1,1,0,2,4,5,8,3,6.947368421052632,4.5490228645893165,57,7.0,0.42105263157894735,7.530612244897959,49,0.4489795918367347
101,Grow holistic e-tailers,user1,Completed,High,Project_G,14.0,0,Approval,0,Fine either information black.,2025-10-20,2025-11-03,23,30,1,1,0,3,14,0,6,2,7.84,4.581952172850095,50,7.0,0.46,8.527272727272727,55,0.43636363636363634
